"slug","info extra","equipe","youtube"
"arte-da-palavra","testando pra ver se funciona

Mas a verdade é que, além dessas duas grandes criações, a obra do poeta comporta uma série de pérolas pouco conhecidas entre os leitores.",,"https://www.youtube.com/watch?v=318qe3HAQ90&t=21s"
" artes-visuais-exposicoes",,,
"artes-visuais-formacao",,,
"acoes-formativas-em-musica",,,
"casa-do-patrimonio",,,
"cine-sesc-2026",,,
"cine-sesc-mirim-2026",,,
"circolado",,,
"circuito-sesc-corridas",,,
"clube-da-corrida",,,
"clube-sesc-de-leitores",,,
"criar-sesc",,,
"dancas-livres",,,
"dancas-sociais",,,
"decanto-de-danca",,,
"dialogos-producao-cultural",,,
"educacao-patrimonial",,,
"espaco-criativo-maker",,,
"estudio-cabore",,,
"exercicios-regulares",,,
"fazeres-daqui",,,
"hub-conecta-impacta",,,
"levantes-daqui",,,
"minha-musica",,,
"mutua-em-acoes",,,
"na-real-2026",,,
"palco-giratorio",,,
"playground-brincante",,,
"residencia-literaria",,,
"rotas-da-memoria",,,
"sesc-ead-eja",,,
"sesc-labmais",,,
"sesc-mediacoes-2026",,,
"sesc-na-flip",,,
"sonora-brasil-2026",,,
"teatralidades",,,
"territorios-do-pensar",,,
"toda-musica",,,
"vozes-da-memoria",,,
"institucional",,,
